Plant Name,Material Number,Material Description,Purchasing Group,Purchasing Grp. Name,Safety Stock,Material Group,Planned Delivery Time (Calendar Days),
IAG - WASTENOT MGMT GREELEY,300000130,LID-PAIL SO PHRESH ADV.OC UN 30LB GREEN,3,NANCY QUESSY,0,RG4000,60,
IAG - WASTENOT MGMT GREELEY,300000131,PAIL SO PHRESH ADV.OC SC 30LB RED,3,NANCY QUESSY,0,RG4000,60,
IAG - WASTENOT MGMT GREELEY,300000132,LID-PAIL SO PHRESH DO MULTI SC 30LB RED,3,NANCY QUESSY,0,RG4000,60,
IAG - WASTENOT MGMT GREELEY,300000495,BOX HEB PRO SC 42LB,3,NANCY QUESSY,15000,RG3000,30,
IAG - WASTENOT MGMT GREELEY,300000504,BAG KITTY POO UN 15LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAG - WASTENOT MGMT GREELEY,300000532,BOX COSTCO QUALICAT MAX UN 18.14 KG,3,NANCY QUESSY,0,RG3000,30,
IAG - WASTENOT MGMT GREELEY,300000632,BOX COSTCO QUALICAT MAX UN 18.14 KG,3,NANCY QUESSY,15000,RG3000,30,
IAG - WASTENOT MGMT GREELEY,400000001,SLIP SHEET,3,NANCY QUESSY,12000,RP3000,30,
IAK - KELLER WAREHOUSE,300000504,BAG KITTY POO UN 15LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAN - WASTENOT MGMT WINDSOR,300000041,BAG BOXIECAT ORIGINAL UN 40LB - 151,1,MAGALIE SENECAL-J.,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000047,BAG BOXIECAT EXTRA UN 40LB - 153,1,MAGALIE SENECAL-J.,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000051,BAG BOXIECAT ORIGINAL SC 28LB - 103A,3,NANCY QUESSY,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000052,BAG BOXIECAT ORIGINAL SC 16LB - 102,3,NANCY QUESSY,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000053,BAG BOXIECAT PRO UN 16LB,3,NANCY QUESSY,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000055,BAG BOXIECAT PRO UN 28LB - 131A,3,NANCY QUESSY,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000058,BAG BOXIECAT ORIGINAL UN 16LB - 100,3,NANCY QUESSY,42900,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000059,BAG BOXIECAT EXTRA UN 16LB - 104,3,NANCY QUESSY,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000060,BAG BOXIECAT EXTRA UN 28LB - 105A,3,NANCY QUESSY,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000061,BAG BOXIECAT ORIGINAL UN 28LB - 101A,3,NANCY QUESSY,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000095,BAG BOXIECAT SC 40LB - 152,1,MAGALIE SENECAL-J.,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000125,BOXIECAT EXTRA UN 16LB Bag - Exp - 146,3,NANCY QUESSY,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000498,BAG BOXIECAT PRO UN 40LB - 154C,3,NANCY QUESSY,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000499,BAG BOXIECAT PRO UN 16LB - 130C,3,NANCY QUESSY,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000501,BAG BOXIECAT PRO UN 28LB - 131C,3,NANCY QUESSY,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000633,BAG BOXIECAT PRO Un 40LB - 154D,3,NANCY QUESSY,0,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000634,BAG BOXIECAT PRO Un 16LB - 130D,3,NANCY QUESSY,90200,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000635,BAG BOXIECAT PRO UN 28LB - 131D,3,NANCY QUESSY,110833,RG1000,2,
IAN - WASTENOT MGMT WINDSOR,300000645,BAG BOXIECAT PRO BOT 16LB - BOT,3,NANCY QUESSY,0,RG1000,2,
IAW - WINDSOR PLANT,100000010,ZEOLITE TURQUOISE,3,NANCY QUESSY,7256,RS5000,15,
IAW - WINDSOR PLANT,100000011,ZEOLITE WHITE,3,NANCY QUESSY,7256,RS5000,15,
IAW - WINDSOR PLANT,100000013,CALCIUM CARBONATE 16X60 MODIFIED,2,ISABELLE PICARD,81000,RS3000,0,
IAW - WINDSOR PLANT,100000014,MONTMORILLONITE GRANULAR,2,ISABELLE PICARD,2000,RS2000,3,
IAW - WINDSOR PLANT,100000017,ZEOLITE BLUE,3,NANCY QUESSY,10884,RS5000,15,
IAW - WINDSOR PLANT,200000021,HYDROQUINONE,3,NANCY QUESSY,1400,RA1000,42,
IAW - WINDSOR PLANT,200000022,AF-50 ULTRATEFLON (DUST SUPPRESSANT),3,NANCY QUESSY,1500,RA3000,42,
IAW - WINDSOR PLANT,200000023,PROBIOTIC-LB,2,ISABELLE PICARD,400,RA4000,100,
IAW - WINDSOR PLANT,200000024,SODIUM BICARBONATE (USP GRADE),3,NANCY QUESSY,2000,RA2000,60,
IAW - WINDSOR PLANT,200000025,OXPURE ACTIVATED CARBON,3,NANCY QUESSY,200,RA1000,60,
IAW - WINDSOR PLANT,300000000,BAG ODOUR BUSTER MULTICAT UN 12KG,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000001,BAG ODOUR BUSTER MULTICAT UN 12KG,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000002,BAG ODOUR BUSTER MC ENG/SPAN UN 12KG,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000003,BAG ODOUR BUSTER MC ENG/SPAN SC 12KG,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000004,WHITE BAG 15LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000005,BAG IT'S JUST CAT LITTER 18KG,1,MAGALIE SENECAL-J.,1000,RG1000,70,
IAW - WINDSOR PLANT,300000006,BAG ODOUR LOCK BP 13LB,2,ISABELLE PICARD,0,RG1000,150,
IAW - WINDSOR PLANT,300000007,BAG ODOR LOCK UN 13LB,2,ISABELLE PICARD,0,RG1000,150,
IAW - WINDSOR PLANT,300000008,BAG ODOUR LOCK LA 13LB,2,ISABELLE PICARD,0,RG1000,150,
IAW - WINDSOR PLANT,300000009,BAG ODOUR LOCK CB 13LB,2,ISABELLE PICARD,0,RG1000,150,
IAW - WINDSOR PLANT,300000010,BAG CLASSIC BP 30LB,1,MAGALIE SENECAL-J.,150,RG1000,70,
IAW - WINDSOR PLANT,300000011,BAG CLASSIC UN 30LB,1,MAGALIE SENECAL-J.,2150,RG1000,70,
IAW - WINDSOR PLANT,300000012,BAG CLASSIC LA 30LB,1,MAGALIE SENECAL-J.,550,RG1000,70,
IAW - WINDSOR PLANT,300000013,BAG CLASSIC NF 30LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000014,BAG CLASSIC BP 7KG,1,MAGALIE SENECAL-J.,0,RG1000,35,
IAW - WINDSOR PLANT,300000015,BAG CLASSIC UN 7KG,1,MAGALIE SENECAL-J.,0,RG1000,35,
IAW - WINDSOR PLANT,300000016,BAG FRISCO CLUMPING UN 20LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000017,BAG FRISCO CLUMPING FB 20LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000018,BAG FRISCO ODOR DEFENSE UN 35LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000019,BAG FRISCO UN 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000020,3X14LB BLANK BOX FOR JUGS,3,NANCY QUESSY,2000,RG2000,2,
IAW - WINDSOR PLANT,300000022,BAG FRISCO CLUMPING CR 20LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000023,BAG SETORY 1SCOOP SC 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000024,BAG FRISCO CLUMPING CR 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000025,BAG FRISCO CLUMPING CR 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000026,BAG SETORY 1SCOOP UN 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000027,BAG FRISCO ODOR DEFENSE CH 35LB,1,MAGALIE SENECAL-J.,0,RG1000,0,
IAW - WINDSOR PLANT,300000028,BAG FRISCO ODOR DEFENSE CH 35LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000029,BAG FRISCO ODOR DEFENSE PI 35LB,1,MAGALIE SENECAL-J.,0,RG1000,0,
IAW - WINDSOR PLANT,300000030,BAG FRISCO ODOR DEFENSE HP 35LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000031,2X20LB BLANK BOX FOR JUGS,3,NANCY QUESSY,500,RG2000,2,
IAW - WINDSOR PLANT,300000032,BAG FRISCO LA 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000033,BAG FRISCO FB 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000034,BAG FRISCO TB 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000035,BAG FRISCO ODOR DEFENSE HS 35LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000036,BAG FRISCO ODOR DEFENSE HO 35LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000037,BAG FRISCO BAKING SODA UN 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000038,BAG FRISCO ODOR DEFENSE LA 35LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000039,BAG ARTEMIS BONO BOX SC 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000040,BAG ARTEMIS BONO BOX UN 40LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000041,BAG BOXIECAT ORIGINAL UN 40LB - 151,1,MAGALIE SENECAL-J.,9500,RG1000,70,
IAW - WINDSOR PLANT,300000042,BOX HEB PRO SC 14LB,3,NANCY QUESSY,2100,RG3000,2,
IAW - WINDSOR PLANT,300000043,BAG BLAIN UN 20LB,1,MAGALIE SENECAL-J.,10000,RG1000,70,
IAW - WINDSOR PLANT,300000044,BAG BLAIN SC 20LB,1,MAGALIE SENECAL-J.,7500,RG1000,70,
IAW - WINDSOR PLANT,300000045,POLY BAG HOLLYWOOD UN CLEAR BAG 20LB,1,MAGALIE SENECAL-J.,1100,RG1000,70,
IAW - WINDSOR PLANT,300000046,BAG HOLLYWOOD FEED SC 20LB,1,MAGALIE SENECAL-J.,0,RG1000,70,
IAW - WINDSOR PLANT,300000047,BAG BOXIECAT EXTRA UN 40LB - 153,1,MAGALIE SENECAL-J.,8700,RG1000,70,
IAW - WINDSOR PLANT,300000048,BOX HEB PRO SC 40LB,3,NANCY QUESSY,0,RG3000,2,
IAW - WINDSOR PLANT,300000049,BOX HEB PRO SC 28LB,3,NANCY QUESSY,900,RG3000,2,
IAW - WINDSOR PLANT,300000050,BOX COSTCO QUALICAT MAX UN 18.14 KG,3,NANCY QUESSY,0,RG3000,2,
IAW - WINDSOR PLANT,300000051,BAG BOXIECAT ORIGINAL SC 28LB - 103A,3,NANCY QUESSY,5700,RG1000,2,
IAW - WINDSOR PLANT,300000052,BAG BOXIECAT ORIGINAL SC 16LB - 102,3,NANCY QUESSY,12066,RG1000,2,
IAW - WINDSOR PLANT,300000053,BAG BOXIECAT PRO UN 16LB,3,NANCY QUESSY,0,RG1000,2,
IAW - WINDSOR PLANT,300000055,BAG BOXIECAT PRO UN 28LB - 131A,3,NANCY QUESSY,0,RG1000,2,
IAW - WINDSOR PLANT,300000058,BAG BOXIECAT ORIGINAL UN 16LB - 100,3,NANCY QUESSY,8500,RG1000,2,
IAW - WINDSOR PLANT,300000059,BAG BOXIECAT EXTRA UN 16LB - 104,3,NANCY QUESSY,23000,RG1000,2,
IAW - WINDSOR PLANT,300000060,BAG BOXIECAT EXTRA UN 28LB - 105A,3,NANCY QUESSY,24000,RG1000,2,
IAW - WINDSOR PLANT,300000061,BAG BOXIECAT ORIGINAL UN 28LB - 101A,3,NANCY QUESSY,25000,RG1000,2,
IAW - WINDSOR PLANT,300000065,JUG HEB PRO UN 14LB,3,NANCY QUESSY,0,RG2000,60,
IAW - WINDSOR PLANT,300000066,JUG HEB ORIGINAL UN 20LB,3,NANCY QUESSY,0,RG2000,60,
IAW - WINDSOR PLANT,300000067,JUG HEB PRO SC 20LB,3,NANCY QUESSY,0,RG2000,60,
IAW - WINDSOR PLANT,300000068,JUG HEB PRO SC 14LB,3,NANCY QUESSY,0,RG2000,60,
IAW - WINDSOR PLANT,300000069,WHITE PLASTIC CAP FOR JUGS,3,NANCY QUESSY,100000,RG2000,60,
IAW - WINDSOR PLANT,300000070,LINER PKG 14LB HEB POURABLE BOX,3,NANCY QUESSY,20000,RG3000,60,
IAW - WINDSOR PLANT,300000071,LINER 14.5 X 11 0.00125 HD,2,ISABELLE PICARD,821.7,RG3000,30,
IAW - WINDSOR PLANT,300000072,LB CAT MAGIC UN 25LB,2,ISABELLE PICARD,12000,RG1000,120,
IAW - WINDSOR PLANT,300000073,LB CAT MAGIC SC 25LB,2,ISABELLE PICARD,12000,RG1000,120,
IAW - WINDSOR PLANT,300000074,LB CAT MAGIC CARBON UN 25LB,2,ISABELLE PICARD,10000,RG1000,120,
IAW - WINDSOR PLANT,300000075,LB ODOR LOCK BP 25LB,2,ISABELLE PICARD,0,RG1000,150,
IAW - WINDSOR PLANT,300000076,LB ODOR LOCK 25LB US,2,ISABELLE PICARD,0,RG1000,150,
IAW - WINDSOR PLANT,300000077,LB ODOR LOCK LA 25LB,2,ISABELLE PICARD,0,RG1000,150,
