,ICE - ETOBICOKE PLANT,Forecast1,Etobicoke,,,,Month Remainder,,,,,,,,,,,
PACK,2917,"4,655",Demand, 	-    , 	-    , 	-    , 	-    ," 	1,638  ", 	-    , 	-    , 	-    , 	-    , 	-    ," 	1,638  ", 	-    , 	-    , 	-    ," 	1,638  "
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"4,655"," 	3,017  "," 	3,017  "," 	3,017  "," 	3,017  "," 	3,017  "," 	3,017  "," 	1,379  "," 	1,379  "," 	1,379  "," 	1,379  ", 	(259) 
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
74018000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000409,BAG GAGNON UN 18KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,0,Demand, 	-    , 	-    , 	-    ," 	1,456  ", 	-    ," 	1,456  ", 	-    , 	-    ," 	1,456  ", 	-    , 	-    , 	-    ," 	1,456  ", 	-    ," 	1,456  "
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario," 	1,456  ", 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"-1,127"," 	(1,127) "," 	(2,583) "," 	(2,583) "," 	(2,583) "," 	(4,039) "," 	(4,039) "," 	(4,039) "," 	(4,039) "," 	(5,495) "," 	(5,495) "," 	(6,951) "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000410,BAG PETZEBA KYLI BP 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
75141800,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000411,BAG NORMAN BP 18KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,"7,450",Demand, 	-    , 	-    , 	-    , 	900  , 	-    , 	-    , 	-    , 	900  , 	-    , 	-    , 	-    , 	-    , 	900  , 	-    , 	900  
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"6,753"," 	6,753  "," 	6,753  "," 	6,753  "," 	5,853  "," 	5,853  "," 	5,853  "," 	5,853  "," 	5,853  "," 	4,953  "," 	4,953  "," 	4,053  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
75151800,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000412,BAG NORMAN UN 18KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,"7,706",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	370  , 	-    , 	-    , 	370  , 	370  , 	-    , 	-    , 	-    , 	370  
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"7,706"," 	7,706  "," 	7,706  "," 	7,336  "," 	7,336  "," 	7,336  "," 	6,966  "," 	6,596  "," 	6,596  "," 	6,596  "," 	6,596  "," 	6,226  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
75171500,-,-,-,,,,,,,,,,,,,,,
Rep: Olivier Brunelle,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000413,BAG HTZ SILVER SAND BP 15KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,"8,000",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"8,000"," 	8,000  "," 	8,000  "," 	8,000  "," 	8,000  "," 	8,000  "," 	8,000  "," 	8,000  "," 	8,000  "," 	8,000  "," 	8,000  "," 	8,000  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
75181500,-,-,-,,,,,,,,,,,,,,,
Rep: Olivier Brunelle,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000414,BAG HTZ SILVER SAND UN 15KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,"9,300",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"9,300"," 	9,300  "," 	9,300  "," 	9,300  "," 	9,300  "," 	9,300  "," 	9,300  "," 	9,300  "," 	9,300  "," 	9,300  "," 	9,300  "," 	9,300  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
76015000,-,-,-,,,,,,,,,,,,,,,
Rep: Ancien,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000415,BAG PEAVEY HARVEST LIT SC 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,"7,100",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"7,100"," 	7,100  "," 	7,100  "," 	7,100  "," 	7,100  "," 	7,100  "," 	7,100  "," 	7,100  "," 	7,100  "," 	7,100  "," 	7,100  "," 	7,100  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
76115000,-,-,-,,,,,,,,,,,,,,,
Rep: Ancien,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000416,BAG PEAVEY HARVEST LIT UN 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,"7,550",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"7,550"," 	7,550  "," 	7,550  "," 	7,550  "," 	7,550  "," 	7,550  "," 	7,550  "," 	7,550  "," 	7,550  "," 	7,550  "," 	7,550  "," 	7,550  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
76215000,-,-,-,,,,,,,,,,,,,,,
Rep: Ancien,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000417,BAG PEAVEY HARVEST CARBON UN 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,"3,850",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"3,850"," 	3,850  "," 	3,850  "," 	3,850  "," 	3,850  "," 	3,850  "," 	3,850  "," 	3,850  "," 	3,850  "," 	3,850  "," 	3,850  "," 	3,850  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
76315000,-,-,-,,,,,,,,,,,,,,,
Rep: Ancien,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000418,BAG PEAVEY HARVEST LITTER SC 18KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,"16,180",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"16,180"," 	16,180  "," 	16,180  "," 	16,180  "," 	16,180  "," 	16,180  "," 	16,180  "," 	16,180  "," 	16,180  "," 	16,180  "," 	16,180  "," 	16,180  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
76415000,-,-,-,,,,,,,,,,,,,,,
Rep: Ancien,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000419,BAG PEAVEY HARVEST LITTER UN 18KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,"5,600",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"5,600"," 	5,600  "," 	5,600  "," 	5,600  "," 	5,600  "," 	5,600  "," 	5,600  "," 	5,600  "," 	5,600  "," 	5,600  "," 	5,600  "," 	5,600  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
77000701,-,-,-,,,,,,,,,,,,,,,
Rep: CSR,Marque: Confort,FG on  Hand:,"6,900",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000420,BAG PRACTICAT BP 7KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,"37,450",Demand, 	-    , 	-    , 	-    ," 	14,136  "," 	11,700  "," 	12,936  "," 	10,800  "," 	12,600  "," 	11,400  "," 	11,700  "," 	12,936  "," 	9,000  "," 	11,136  "," 	12,600  "," 	9,036  "
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario," 	5,700  "," 	8,100  "," 	8,850  ",,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    ," 	50,000  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 50000,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,3/20/26,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"18,506"," 	6,806  "," 	43,870  "," 	33,070  "," 	20,470  "," 	9,070  "," 	(2,630) "," 	(15,566) "," 	(24,566) "," 	(35,702) "," 	(48,302) "," 	(57,338) "
,,,Safety Stock,8000,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
77001201,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000421,BAG PRACTICAT BP 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,"17,500",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"17,500"," 	17,500  "," 	17,500  "," 	17,500  "," 	17,500  "," 	17,500  "," 	17,500  "," 	17,500  "," 	17,500  "," 	17,500  "," 	17,500  "," 	17,500  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
77001401,77011401,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Confort,FG on  Hand:,"5,184",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000422,BAG PRACTICAT BP 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,"28,750",Demand, 	-    , 	-    , 	-    ," 	7,248  "," 	6,288  "," 	7,248  "," 	11,840  "," 	8,448  "," 	3,920  "," 	6,288  "," 	13,360  "," 	5,648  "," 	6,400  "," 	6,288  "," 	12,000  "
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario," 	2,160  "," 	3,088  "," 	4,816  ",,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    ," 	25,000  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 25000,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,3/20/26,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"15,639"," 	9,351  "," 	27,103  "," 	15,263  "," 	6,815  "," 	2,895  "," 	(3,393) "," 	(16,753) "," 	(22,401) "," 	(28,801) "," 	(35,089) "," 	(47,089) "
,,,Safety Stock,7500,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
87014000,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000442,BAG MUSTI CC MC BP 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
87014002,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000443,BAG MUSTI CC MC BP 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,230,Demand, 	-    , 	-    , 	-    ," 	6,000  "," 	6,000  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario," 	6,912  "," 	8,640  "," 	6,912  ",,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"-4,415"," 	(10,415) "," 	(10,415) "," 	(10,415) "," 	(10,415) "," 	(10,415) "," 	(10,415) "," 	(10,415) "," 	(10,415) "," 	(10,415) "," 	(10,415) "," 	(10,415) "
,,,Safety Stock,0,,,Notes,remplacé par 300000641,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
87210001,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000444,LAMINATED BAG MUSTI CC SENS. Un 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2917,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
ISABELLE PICARD,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 150d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
87210002,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000445,BAG (RL) MUSTI CC SENS. Un 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,0,Demand, 	-    , 	-    , 	-    ," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "
MAGALIE SENECAL-J.,2917,6540,Actuals/PO Scenario," 	6,552  "," 	4,368  ", 	-    ,," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "," 	4,250  "
Lead Time: 14d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
India,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"3,250"," 	3,250  "," 	3,250  "," 	3,250  "," 	3,250  "," 	3,250  "," 	3,250  "," 	3,250  "," 	3,250  "," 	3,250  "," 	3,250  "," 	3,250  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,sera remplacé par 300000545,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000446,BAG MUSTI CC MC UN 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
,2917,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
87214001,-,-,-,,,,,,,,,,,,,,,
Rep: Jennifer,Marque: Privée,FG on  Hand:,144,Actuals vs Forecast,,,,,,,,,,,,,,
