Material,Material Description,Plant,Plant Name,Storage Location,Description of Storage Location,Special Stock Type,Special Stock Type Description,Unrestricted Stock,Stock in Quality Inspection,Blocked Stock,Base Unit,
500000333,SC STONE OLLAV-CHAMOMILE (OC) 10KG PAIL,2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,50,0,0,KG,
500000332,SC STONE CALMING BREEZE (CB) 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,,,,,0,0,0,KG,
500000332,SC STONE CALMING BREEZE (CB) 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,120.852,0,0,KG,
500000332,SC STONE CALMING BREEZE (CB) 10KG PAIL,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,400,0,0,KG,
500000332,SC STONE CALMING BREEZE (CB) 10KG PAIL,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,344.6,0,0,KG,
500000332,SC STONE CALMING BREEZE (CB) 10KG PAIL,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,50,0,0,KG,
500000332,SC STONE CALMING BREEZE (CB) 10KG PAIL,2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,60,0,0,KG,
500000331,SC STONE LAVENDER 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,440,0,0,KG,
500000331,SC STONE LAVENDER 10KG PAIL,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,400,0,0,KG,
500000331,SC STONE LAVENDER 10KG PAIL,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,62.78,0,0,KG,
500000331,SC STONE LAVENDER 10KG PAIL,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,428,0,0,KG,
500000330,SC STONE LEMONGRASS (CI) 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,200,0,0,KG,
500000330,SC STONE LEMONGRASS (CI) 10KG PAIL,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,107.6,0,0,KG,
500000329,SC STONE HERBAL PINE (HP) 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,450.398,0,0,KG,
500000329,SC STONE HERBAL PINE (HP) 10KG PAIL,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,1600,0,0,KG,
500000328,SC STONE BABY POWDER (BP) 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,560,0,0,KG,
500000328,SC STONE BABY POWDER (BP) 10KG PAIL,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,1600,0,0,KG,
500000328,SC STONE BABY POWDER (BP) 10KG PAIL,2915,ICS - ST-ALEXIS PLANT,291A,Zone A,,,190,0,0,KG,
500000328,SC STONE BABY POWDER (BP) 10KG PAIL,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,5.86,0,0,KG,
500000327,SC STONE OCEAN BREEZE (OB) 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,50,0,0,KG,
500000327,SC STONE OCEAN BREEZE (OB) 10KG PAIL,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,200,0,0,KG,
500000327,SC STONE OCEAN BREEZE (OB) 10KG PAIL,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,9.11,0,0,KG,
500000325,SC STONE CHERRY BLOSSOM (CBI) 10KG PAIL,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,100,0,0,KG,
500000325,SC STONE CHERRY BLOSSOM (CBI) 10KG PAIL,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,99.5,0,0,KG,
500000324,SC STONE EUCALYPTUS (EU) 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,130,0,0,KG,
500000324,SC STONE EUCALYPTUS (EU) 10KG PAIL,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,300,0,0,KG,
500000324,SC STONE EUCALYPTUS (EU) 10KG PAIL,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,113.44,0,0,KG,
500000323,SC STONE MALABATE (MA) 10KG PAIL,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,295,0,0,KG,
500000323,SC STONE MALABATE (MA) 10KG PAIL,2912,ICN - NEWTON PLANT,291P,Prod Stag Area,,,400,0,0,KG,
500000312,BLUE SPECKLES,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,7354.259,0,0,KG,
500000312,BLUE SPECKLES,2912,ICN - NEWTON PLANT,291C,Zone C,,,28420,0,0,KG,
500000312,BLUE SPECKLES,2915,ICS - ST-ALEXIS PLANT,291B,Zone B,,,2030,0,0,KG,
500000312,BLUE SPECKLES,2915,ICS - ST-ALEXIS PLANT,291P,Prod Stag Area,,,815.6,0,0,KG,
500000312,BLUE SPECKLES,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,22490,0,0,KG,
500000312,BLUE SPECKLES,2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,105.324,0,0,KG,
500000311,CLUMPING MIXTURE,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,555,0,0,KG,
500000309,SC STONE VANILLA CREAM (VC) 400KG TOTE,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,700,0,0,KG,
500000309,SC STONE VANILLA CREAM (VC) 400KG TOTE,2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,20,0,0,KG,
500000289,MIXER RECIPE 311-52,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,1977.099,0,0,KG,
500000267,MIXER RECIPE 4-40,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,14050.116,0,0,KG,
500000175,SC STONE LEMONGRASS (CI) 400KG TOTE,2917,ICE - ETOBICOKE PLANT,291B,Zone B,,,800,0,0,KG,
500000175,SC STONE LEMONGRASS (CI) 400KG TOTE,2917,ICE - ETOBICOKE PLANT,291P,Prod Stag Area,,,380,0,0,KG,
500000172,MIXER RECIPE 65-40,2911,ICB - BOUCHERVILLE PLANT,291P,Prod Stag Area,,,2107,0,0,KG,
500000149,DUST TOTE,2915,ICS - ST-ALEXIS PLANT,291B,Zone B,,,1000,0,0,KG,
500000149,DUST TOTE,2916,ICP - ST-ALEXIS WAREHOUSE,291D,Zone D,,,92000,0,0,KG,
500000146,RECYCLE WITH BLUE ZEOLITE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,2000,0,0,KG,
500000145,RECYCLE WITHOUT ZEOLITE,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,3600,0,0,KG,
500000143,BRABENDER RECIPE 163,1710,IAW - WINDSOR PLANT,171E,Production Stage,,,192744.942,0,0,KG,
