,ICS - ST-ALEXIS PLANT,Forecast1,Saint-Alexis,,,,Month Remainder,,,,,,,,,,,
,,,Month end stock,,,,772, 	772  , 	772  ," 	112,972  "," 	112,972  "," 	112,972  "," 	112,972  "," 	112,972  "," 	112,972  "," 	112,972  "," 	112,972  "," 	112,972  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21006001,32006001,50006001,-,,,,,,,,,,,,,,,
Rep: Maria Caso,Marque: Ultra Premium,FG on  Hand:,"2,815",Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000328,BAG ODOUR LOCK BP 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,"43,200",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2915,19068,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,2916,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"62,268"," 	62,268  "," 	62,268  "," 	62,268  "," 	62,268  "," 	62,268  "," 	62,268  "," 	62,268  "," 	62,268  "," 	62,268  "," 	62,268  "," 	62,268  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,va etre remplacé par 300000511,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21006002,32006002,50006002,-,,,,,,,,,,,,,,,
Rep: Maria Caso,Marque: Ultra Premium,FG on  Hand:,"2,921",Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000329,RECYC LAMINATED BAG ODOUR LOCK BP 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,"39,260",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2915,8770,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 5d,2916,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"48,030"," 	48,030  "," 	48,030  "," 	48,030  "," 	48,030  "," 	48,030  "," 	48,030  "," 	48,030  "," 	48,030  "," 	48,030  "," 	48,030  "," 	48,030  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,va etre remplacé par 300000511,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21106002,32106002,50106002,-,,,,,,,,,,,,,,,
Rep: Olivier Brunelle,Marque: Ultra Premium,FG on  Hand:,"22,417",Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000333,RECYC LAMINATED BAG ODOUR LOCK UN 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,"166,400",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,25,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 5d,2916,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"166,400"," 	166,400  "," 	166,400  "," 	166,400  "," 	166,400  "," 	166,400  "," 	166,400  "," 	166,400  "," 	166,400  "," 	166,400  "," 	166,400  "," 	166,400  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,va etre remplacé par 300000512,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21306002,32306002,50306002,-,,,,,,,,,,,,,,,
Rep: Maria Caso,Marque: Ultra Premium,FG on  Hand:,"7,246",Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000337,RECYC LAMINATED BAG ODOUR LOCK CHLA 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,"20,800",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2915,9600,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 5d,2916,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"30,400"," 	30,400  "," 	30,400  "," 	30,400  "," 	30,400  "," 	30,400  "," 	30,400  "," 	30,400  "," 	30,400  "," 	30,400  "," 	30,400  "," 	30,400  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,va etre remplacé par 300000513,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21406001,32406001,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000340,POUCH ODOUR LOCK CHLA 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
ISABELLE PICARD,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21406002,32406002,50406002,-,,,,,,,,,,,,,,,
Rep: Maria Caso,Marque: Ultra Premium,FG on  Hand:,"4,044",Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000341,RECYC LAMINATED BAG ODOUR LOCK CB 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,"5,336",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2915,8191,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 5d,2916,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"13,527"," 	13,527  "," 	13,527  "," 	13,527  "," 	13,527  "," 	13,527  "," 	13,527  "," 	13,527  "," 	13,527  "," 	13,527  "," 	13,527  "," 	13,527  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,va etre remplacé par 300000514,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21406003,32406003,50406003,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000514,BAG (RL) - ODOUR LOCK CB 6KG V3,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2915,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 5d,2916,0,Supply,,,," 	25,050  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 25050,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,1/31/26,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"25,050"," 	25,050  "," 	25,050  "," 	25,050  "," 	25,050  "," 	25,050  "," 	25,050  "," 	25,050  "," 	25,050  "," 	25,050  "," 	25,050  "," 	25,050  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,remplace 300000341,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21612000,32612000,50612000,-,,,,,,,,,,,,,,,
,,FG on  Hand:,"1,176",Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000344,LAMINATED BAG MAXCARE UN 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,"26,100",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
ISABELLE PICARD,2915,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,2916,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"26,100"," 	26,100  "," 	26,100  "," 	26,100  "," 	26,100  "," 	26,100  "," 	26,100  "," 	26,100  "," 	26,100  "," 	26,100  "," 	26,100  "," 	26,100  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,va etre remplacé par 300000515,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21612002,32612002,50612002,-,,,,,,,,,,,,,,,
Rep: Maria Caso,Marque: Ultra Premium,FG on  Hand:,"4,188",Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000345,RECYC LAMINATED BAG MAXCARE UN 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,"33,000",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2915,2415,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 5d,2916,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"35,415"," 	35,415  "," 	35,415  "," 	35,415  "," 	35,415  "," 	35,415  "," 	35,415  "," 	35,415  "," 	35,415  "," 	35,415  "," 	35,415  "," 	35,415  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,va etre remplacé par 300000344,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21612003,32612003,50612003,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000515,BAG (RL) OL MAXCARE UN 12KG V3,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2915,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 5d,2916,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ," 	50,000  ", 	-    , 	-    
,,"Total open po: 50000,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,10/5/26,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ," 	50,000  "," 	50,000  "," 	50,000  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,remplace 300000344,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
22014000,22015000,22016000,-,,,,,,,,,,,,,,,
Rep: Olivier Brunelle,Marque: Confort,FG on  Hand:,"4,514",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000346,BAG SIMPLE UN 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,"5,129",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    ," 	55,000  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 55000,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,4/1/26,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"5,129"," 	5,129  "," 	5,129  "," 	60,129  "," 	60,129  "," 	60,129  "," 	60,129  "," 	60,129  "," 	60,129  "," 	60,129  "," 	60,129  "," 	60,129  "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
23011000,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000347,BAG SIMPLE UN 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000348,BAG SIMPLE UN 10KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
26455010,32455010,56455010,58455010,,,,,,,,,,,,,,,
Rep: Maria Caso,Marque: Ultra Premium,FG on  Hand:,"3,260",Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000349,BAG ECOLIFE FB 5.5KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,"12,969",Demand, 	-    , 	-    , 	-    , 	730  ," 	1,570  ", 	450  , 	730  , 	870  , 	730  , 	730  ," 	1,290  ", 	730  , 	730  , 	870  , 	730  
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario," 	2,100  ", 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"10,704"," 	9,134  "," 	8,684  "," 	7,954  "," 	7,084  "," 	6,354  "," 	5,624  "," 	4,334  "," 	3,604  "," 	2,874  "," 	2,004  "," 	1,274  "
,,,Safety Stock,1700,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
40060001,40060003,40060004,40060005,,,,,,,,,,,,,,,
Rep: Stephany Robinson,Marque: Premium,FG on  Hand:,"8,744",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000350,BAG OB ORIGINAL UN 6KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2912,0,Demand, 	-    , 	-    , 	-    ," 	5,447  "," 	5,701  "," 	4,856  "," 	5,864  "," 	4,268  "," 	4,865  "," 	6,452  "," 	4,365  "," 	5,191  "," 	5,864  "," 	5,280  "," 	5,864  "
MAGALIE SENECAL-J.,2915,13800,Actuals/PO Scenario," 	5,040  "," 	6,219  "," 	3,843  ",,,,,,,,,,,,
Lead Time: 2d,2916,18000,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"27,583"," 	21,882  "," 	17,026  "," 	11,162  "," 	6,894  "," 	2,029  "," 	(4,423) "," 	(8,788) "," 	(13,979) "," 	(19,843) "," 	(25,123) "," 	(30,987) "
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
40062001,40062003,-,-,,,,,,,,,,,,,,,
Rep: Olivier Brunelle,Marque: Premium,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000351,BAG OB ORIGINAL UN 6.4KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,"1,173",Demand, 	-    , 	-    , 	-    , 	224  , 	260  , 	-    , 	-    , 	-    , 	372  , 	-    , 	-    , 	-    , 	260  , 	224  , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	260  , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"1,000", 	740  , 	740  , 	740  , 	740  , 	368  , 	368  , 	368  , 	368  , 	108  , 	(116) , 	(116) 
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
40120001,40120003,40120004,40120005,,,,,,,,,,,,,,,
Rep: Stephany Robinson,Marque: Premium,FG on  Hand:,"9,769",Actuals vs Forecast,,,,,,,,,,,,,,
Status: Phase-Out,300000352,BAG OB MC UN 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,"3,279",Demand, 	-    , 	-    , 	-    ," 	12,660  "," 	17,664  "," 	11,720  "," 	12,412  "," 	15,128  "," 	10,860  "," 	10,648  "," 	14,464  "," 	13,316  "," 	16,142  "," 	10,110  "," 	11,476  "
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario," 	11,956  "," 	13,244  "," 	7,620  ",,,,,,,,,,,,
Lead Time: 1d,,0,Supply,,,," 	75,000  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 75000,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,1/15/26,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"55,478"," 	37,814  "," 	26,094  "," 	13,682  "," 	(1,446) "," 	(12,306) "," 	(22,954) "," 	(37,418) "," 	(50,734) "," 	(66,876) "," 	(76,986) "," 	(88,462) "
,,,Safety Stock,13000,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000353,LAMINATED BAG OB MC UN 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
,2915,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,
Lead Time: 90d,,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,Total open po: 0,PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,,Safety Stock,0,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
40140001,40140003,40140004,40140005,,,,,,,,,,,,,,,
Rep: Stephany Robinson,Marque: Premium,FG on  Hand:,"24,409",Actuals vs Forecast,,,,,,,,,,,,,,
Status: In-Use,300000355,BAG ODOUR BUSTER ORIGINAL UN 14KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,"12,052",Demand, 	-    , 	-    , 	-    ," 	30,220  "," 	33,327  "," 	26,848  "," 	30,656  "," 	27,968  "," 	27,399  "," 	25,020  "," 	29,512  "," 	28,319  "," 	29,891  "," 	25,184  "," 	29,140  "
MAGALIE SENECAL-J.,2916,0,Actuals/PO Scenario," 	26,080  "," 	28,616  "," 	20,785  ",,,,,,,,,,,,
Lead Time: 2d,,0,Supply,,,," 	150,000  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
,,"Total open po: 150000,",PO number,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,1/19/26,-,-,-,-,-,-,-,-,-,-,-
,,,Month end stock,,,,"108,656"," 	75,329  "," 	48,481  "," 	17,825  "," 	(10,143) "," 	(37,542) "," 	(62,562) "," 	(92,074) "," 	(120,393) "," 	(150,284) "," 	(175,468) "," 	(204,608) "
,,,Safety Stock,30000,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
41070001,41070003,41070005,-,,,,,,,,,,,,,,,
Rep: Olivier Brunelle,Marque: Confort,FG on  Hand:,468,Actuals vs Forecast,,,,,,,,,,,,,,
Status: Obsolete,300000356,BAG SAHARA UN 7KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
PACK,2915,0,Demand, 	-    , 	-    , 	-    , 	312  , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    
